Official tag,Management tag,Category,Breed,Sex,Date of birth,Sire official tag,Birth Dam official tag,Rearing Dam official tag,Farmlet,Grazing year,End grazing year
UK 362735 402282,2282,Cattle,ST,F,15/03/2021,UK 142911 303178,UK 706021 403050,NA,Green,2022,2022
UK 362735 502283,2283,Cattle,STX,F,15/03/2021,UK 142911 303178,UK 324412 501356,NA,Blue,2022,2022
UK 362735 602284,2284,Cattle,ST,M,15/03/2021,UK 220207 601568,UK 362735 301847,NA,Green,2022,2022
UK 362735 102272,2272,Cattle,ST,M,13/03/2021,UK 303605 401594,UK 362735 201930,NA,Blue,2022,2022
UK 362735 202273,2273,Cattle,ST,F,13/03/2021,UK 706021 102928,UK 221185 701999,NA,Green,2022,2022
UK 362735 302274,2274,Cattle,ST,M,13/03/2021,UK 142911 303178,UK 280211 500496,NA,Green,2022,2022
UK 362735 402275,2275,Cattle,ST,F,13/03/2021,UK 706021 102928,UK 280211 600476,NA,Green,2022,2022
UK 362735 702278,2278,Cattle,STX,F,13/03/2021,UK 142911 303178,UK 345188 401397,NA,Green,2022,2022
UK 362735 602270,2270,Cattle,ST,M,12/03/2021,UK 303605 401594,UK 362735 101929,NA,Green,2022,2022
UK 362735 102265,2265,Cattle,ST,M,11/03/2021,UK 706021 102928,UK 221217 301072,NA,Blue,2022,2022
UK 362735 202266,2266,Cattle,STX,M,11/03/2021,UK 142911 303178,UK 362735 301126,NA,Blue,2022,2022
UK 362735 502276,2276,Cattle,ST,M,11/03/2021,UK 303605 401594,UK 362735 301966,NA,Blue,2022,2022
UK 362735 702264,2264,Cattle,ST,F,11/03/2021,UK 142911 303178,UK 280211 300501,NA,Blue,2022,2022
UK 362735 602263,2263,Cattle,ST,F,10/03/2021,UK 380678 601707,UK 706021 603045,NA,Green,2022,2022
UK 362735 102258,2258,Cattle,ST,M,09/03/2021,UK 220207 601568,UK 362735 701879,NA,Green,2022,2022
UK 362735 502255,2255,Cattle,ST,M,09/03/2021,UK 380678 601707,UK 706021 603010,NA,Green,2022,2022
UK 362735 602256,2256,Cattle,ST,M,09/03/2021,UK 220207 601568,UK 362735 701893,NA,Blue,2022,2022
UK 362735 702257,2257,Cattle,ST,M,09/03/2021,UK 220207 601568,UK 283928 701156,NA,Blue,2022,2022
UK 362735 302253,2253,Cattle,ST,M,08/03/2021,UK 220207 601568,UK 283928 601169,NA,Green,2022,2022
UK 362735 402254,2254,Cattle,STX,M,08/03/2021,UK 142911 303178,UK 363394 600788,NA,Blue,2022,2022
UK 362735 102251,2251,Cattle,ST,M,07/03/2021,UK 303605 401594,UK 362735 502045,NA,Green,2022,2022
UK 362735 102244,2244,Cattle,ST,M,06/03/2021,UK 303605 401594,UK 362735 702019,NA,Green,2022,2022
UK 362735 202245,2245,Cattle,ST,M,06/03/2021,UK 220207 601568,UK 706021 302937,NA,Green,2022,2022
UK 362735 702243,2243,Cattle,ST,F,05/03/2021,UK 706021 102928,UK 280211 500503,NA,Blue,2022,2022
UK 362735 102237,2237,Cattle,ST,M,03/03/2021,UK 303605 401594,UK 362735 501926,NA,Blue,2022,2022
UK 362735 202238,2238,Cattle,ST,F,03/03/2021,UK 220207 601568,UK 362735 501877,NA,Green,2022,2022
UK 362735 402240,2240,Cattle,ST,M,03/03/2021,UK 303605 401594,UK 362735 102027,NA,Blue,2022,2022
UK 362735 302232,2232,Cattle,ST,F,01/03/2021,UK 380678 601707,UK 706021 502981,NA,Blue,2022,2022
UK 362735 602235,2235,Cattle,ST,M,01/03/2021,UK 380678 601707,UK 362735 101894,NA,Blue,2022,2022
UK 362735 202224,2224,Cattle,ST,M,28/02/2021,UK 220207 601568,UK 706021 102942,NA,Blue,2022,2022
UK 362735 302225,2225,Cattle,ST,M,28/02/2021,UK 303605 401594,UK 362735 701914,NA,Blue,2022,2022
UK 362735 402226,2226,Cattle,ST,M,28/02/2021,UK 220207 601568,UK 362735 601752,NA,Blue,2022,2022
UK 362735 502227,2227,Cattle,STX,F,28/02/2021,UK 142911 303178,UK 323621 201773,NA,Green,2022,2022
UK 362735 102223,2223,Cattle,STX,F,27/02/2021,UK 142911 303178,UK 344680 103388,NA,Blue,2022,2022
UK 362735 102216,2216,Cattle,STX,F,26/02/2021,UK 142911 303178,UK 362735 101173,NA,Green,2022,2022
UK 362735 502213,2213,Cattle,ST,M,25/02/2021,UK 220207 601568,UK 362735 401862,NA,Green,2022,2022
UK 362735 602214,2214,Cattle,STX,M,25/02/2021,UK 142911 303178,UK 324293 101345,NA,Green,2022,2022
UK 362735 702215,2215,Cattle,STX,F,25/02/2021,UK 142911 303178,UK 344680 103353,NA,Blue,2022,2022
UK 362735 102209,2209,Cattle,ST,F,21/02/2021,UK 142911 303178,UK 221217 501179,NA,Blue,2022,2022
UK 362735 302204,2204,Cattle,ST,F,19/02/2021,UK 220207 601568,UK 362735 301875,NA,Blue,2022,2022
UK 362735 202203,2203,Cattle,ST,M,17/02/2021,UK 303605 401594,UK 362735 701970,NA,Green,2022,2022
UK 362735 702194,2194,Cattle,ST,F,15/04/2020,UK 380678 601707,UK 706021 302937,NA,Green,2021,NA
UK 362735 302190,2190,Cattle,STX,F,02/04/2020,UK 303596 501955,UK 366189 201726,NA,Green,2021,NA
UK 362735 102188,2188,Cattle,ST,M,31/03/2020,UK 220207 601568,UK 362735 501870,NA,Blue,2021,NA
UK 362735 702187,2187,Cattle,ST,M,31/03/2020,UK 142911 303178,UK 283928 601183,NA,Green,2021,NA
UK 362735 602186,2186,Cattle,STX,M,30/03/2020,UK 380678 601707,UK 324412 501356,NA,Blue,2021,NA
UK 362735 202182,2182,Cattle,STX,F,29/03/2020,UK 380678 601707,UK 345188 401397,NA,Green,2021,NA
UK 362735 402184,2184,Cattle,ST,M,29/03/2020,UK 706021 102928,UK 221185 102063,NA,Blue,2021,NA
UK 362735 502178,2178,Cattle,ST,M,28/03/2020,UK 220207 601568,UK 362735 701893,NA,Green,2021,NA
UK 362735 602179,2179,Cattle,ST,M,28/03/2020,UK 706021 102928,UK 706021 603073,NA,Blue,2021,NA
UK 362735 402177,2177,Cattle,ST,M,27/03/2020,UK 220207 601568,UK 362735 701823,NA,Blue,2021,NA
UK 362735 202175,2175,Cattle,ST,M,26/03/2020,UK 142911 303178,UK 280211 700491,NA,Green,2021,NA
UK 362735 302176,2176,Cattle,ST,M,26/03/2020,UK 142911 303178,UK 362735 401603,NA,Blue,2021,NA
UK 362735 102174,2174,Cattle,ST,M,25/03/2020,UK 380678 601707,UK 706021 303007,NA,Blue,2021,NA
UK 362735 302169,2169,Cattle,ST,M,22/03/2020,UK 142911 303178,UK 283928 101213,NA,Blue,2021,NA
UK 362735 602165,2165,Cattle,ST,M,22/03/2020,UK 220207 601568,UK 362735 401792,NA,Green,2021,NA
UK 362735 702166,2166,Cattle,ST,F,22/03/2020,UK 706021 102928,UK 280211 500489,NA,Blue,2021,NA
UK 362735 102160,2160,Cattle,ST,M,19/03/2020,UK 706021 102928,UK 221185 701978,NA,Green,2021,NA
UK 362735 302162,2162,Cattle,STX,F,19/03/2020,UK 303596 501955,UK 366189 401889,NA,Green,2021,NA
UK 362735 702159,2159,Cattle,ST,M,19/03/2020,UK 142911 303178,UK 283928 301138,NA,Blue,2021,NA
UK 362735 502157,2157,Cattle,ST,M,18/03/2020,UK 220207 601568,UK 362735 701879,NA,Green,2021,NA
UK 362735 602158,2158,Cattle,ST,M,18/03/2020,UK 706021 102928,UK 221185 401968,NA,Blue,2021,NA
UK 362735 302155,2155,Cattle,ST,F,15/03/2020,UK 380678 601707,UK 221217 501179,NA,Green,2021,NA
UK 362735 202154,2154,Cattle,STX,F,14/03/2020,UK 303596 501955,UK 383869 100881,NA,Blue,2021,NA
UK 362735 502150,2150,Cattle,ST,F,13/03/2020,UK 220207 601568,UK 362735 501898,NA,Blue,2021,NA
UK 362735 602151,2151,Cattle,STX,M,13/03/2020,UK 303596 501955,UK 363394 600788,NA,Blue,2021,NA
UK 362735 302148,2148,Cattle,ST,M,11/03/2020,UK 706021 102928,UK 283928 401195,NA,Green,2021,NA
UK 362735 202147,2147,Cattle,STX,M,09/03/2020,UK 380678 601707,UK 340944 102797,NA,Green,2021,NA
UK 362735 102139,2139,Cattle,STX,F,07/03/2020,UK 380678 601707,UK 366189 702074,NA,Blue,2021,NA
UK 362735 302141,2141,Cattle,ST,M,07/03/2020,UK 220207 601568,UK 362735 601752,NA,Green,2021,NA
UK 362735 602144,2144,Cattle,ST,M,07/03/2020,UK 142911 303178,UK 280211 300501,NA,Green,2021,NA
UK 362735 602137,2137,Cattle,ST,F,06/03/2020,UK 380678 601707,UK 221217 501242,NA,Blue,2021,NA
UK 362735 402135,2135,Cattle,ST,M,05/03/2020,UK 380678 601707,UK 706021 402945,NA,Green,2021,NA
UK 362735 302127,2127,Cattle,ST,M,03/03/2020,UK 706021 102928,UK 283928 501210,NA,Blue,2021,NA
UK 362735 302134,2134,Cattle,ST,M,03/03/2020,UK 142911 303178,UK 706021 603045,NA,Green,2021,NA
UK 362735 502129,2129,Cattle,ST,M,03/03/2020,UK 142911 303178,UK 280211 600476,NA,Blue,2021,NA
UK 362735 602130,2130,Cattle,ST,M,03/03/2020,UK 706021 102928,UK 221185 102028,NA,Blue,2021,NA
UK 362735 702131,2131,Cattle,STX,M,03/03/2020,UK 706021 102928,UK 344680 103388,NA,Blue,2021,NA
UK 362735 102125,2125,Cattle,STX,M,02/03/2020,UK 142911 303178,UK 340762 401876,NA,Green,2021,NA
UK 362735 202126,2126,Cattle,STX,M,02/03/2020,UK 706021 102928,UK 324293 101345,NA,Green,2021,NA
UK 362735 102118,2118,Cattle,ST,M,29/02/2020,UK 380678 601707,UK 283928 601169,NA,Blue,2021,NA
UK 362735 302120,2120,Cattle,STX,F,29/02/2020,UK 303596 501955,UK 344680 103353,NA,Blue,2021,NA
UK 362735 602116,2116,Cattle,ST,M,29/02/2020,UK 142911 303178,UK 706021 603059,NA,Green,2021,NA
UK 362735 202112,2112,Cattle,ST,M,28/02/2020,UK 706021 102928,UK 221185 601956,NA,Blue,2021,NA
UK 362735 502108,2108,Cattle,ST,M,27/02/2020,UK 380678 601707,UK 706021 402938,NA,Blue,2021,NA
UK 362735 202098,2098,Cattle,STX,M,24/02/2020,UK 303596 501955,UK 323621 201773,NA,Green,2021,NA
UK 362735 502094,2094,Cattle,STX,F,23/02/2020,UK 303596 501955,UK 385983 501291,NA,Blue,2021,NA
UK 362735 602095,2095,Cattle,ST,M,23/02/2020,UK 380678 601707,UK 706021 702962,NA,Green,2021,NA
UK 362735 102097,2097,Cattle,ST,M,22/02/2020,UK 380678 601707,UK 221217 701153,NA,Blue,2021,NA
UK 362735 402093,2093,Cattle,ST,M,22/02/2020,UK 706021 102928,UK 362735 501723,NA,Green,2021,NA
UK 362735 402086,2086,Cattle,ST,M,21/02/2020,UK 706021 102928,UK 221185 501990,NA,Green,2021,NA
UK 362735 602088,2088,Cattle,ST,M,21/02/2020,UK 142911 303178,UK 283928 501042,NA,Green,2021,NA
UK 362735 102083,2083,Cattle,ST,F,20/02/2020,UK 142911 303178,UK 221217 401178,NA,Green,2021,NA
UK 362735 202084,2084,Cattle,ST,F,20/02/2020,UK 706021 102928,UK 221185 601977,NA,Blue,2021,NA
UK 362735 202077,2077,Cattle,ST,M,19/02/2020,UK 142911 303178,UK 280211 100478,NA,Blue,2021,NA
UK 362735 302078,2078,Cattle,ST,M,19/02/2020,UK 380678 601707,UK 362735 301560,NA,Green,2021,NA
UK 362735 602081,2081,Cattle,ST,M,19/02/2020,UK 142911 303178,UK 280211 500461,NA,Green,2021,NA
UK 362735 602074,2074,Cattle,ST,M,16/02/2020,UK 142911 303178,UK 280211 400460,NA,Blue,2021,NA
UK 362735 302071,2071,Cattle,ST,M,14/02/2020,UK 706021 102928,UK 221185 602026,NA,Green,2021,NA
UK 362735 302064,2064,Cattle,ST,F,26/01/2020,UK 220207 601568,UK 362735 501765,NA,Green,2021,NA
UK 362735 602060,2060,Cattle,ST,M,09/01/2020,UK 220207 601568,UK 362735 701844,NA,Blue,2021,NA
UK 362735 102041,2041,Cattle,ST,M,18/04/2019,UK 380678 601707,UK 280211 100471,NA,Green,2020,2020
UK 362735 302036,2036,Cattle,ST,M,10/04/2019,UK 142911 303178,UK 221217 201162,NA,Green,2020,2020
UK 362735 202035,2035,Cattle,ST,M,05/04/2019,UK 142911 303178,UK 221217 101245,NA,Blue,2020,2020
UK 362735 702033,2033,Cattle,ST,M,03/04/2019,UK 380678 601707,UK 706021 303007,NA,Green,2020,2020
UK 362735 402023,2023,Cattle,ST,M,31/03/2019,UK 142911 303178,UK 706021 103075,NA,Green,2020,2020
UK 362735 302008,2008,Cattle,STX,M,19/03/2019,UK 303596 501955,UK 362594 300081,NA,Blue,2020,2020
UK 362735 202007,2007,Cattle,STX,M,18/03/2019,UK 303596 501955,UK 366189 702074,NA,Blue,2020,2020
UK 362735 602004,2004,Cattle,ST,M,17/03/2019,UK 380678 601707,UK 280211 300494,NA,Blue,2020,2020
UK 362735 401995,1995,Cattle,ST,M,12/03/2019,UK 380678 601707,UK 280211 700477,NA,Blue,2020,2020
UK 362735 301994,1994,Cattle,STX,F,11/03/2019,UK 303596 501955,UK 366189 601716,NA,Green,2020,2020
UK 362735 501989,1989,Cattle,STX,M,09/03/2019,UK 303596 501955,UK 344853 101116,NA,Green,2020,2020
UK 362735 301987,1987,Cattle,ST,M,07/03/2019,UK 142911 303178,UK 362735 701606,NA,Blue,2020,2020
UK 362735 201986,1986,Cattle,STX,M,06/03/2019,UK 303596 501955,UK 341623 501576,NA,Green,2020,2020
UK 362735 201965,1965,Cattle,ST,M,27/02/2019,UK 142911 303178,UK 283928 701142,NA,Green,2020,2020
UK 362735 601955,1955,Cattle,ST,M,24/02/2019,UK 706021 102928,UK 283928 401188,UK 341095 501059,Green,2020,2020
UK 362735 101950,1950,Cattle,STX,F,23/02/2019,UK 303596 501955,UK 362735 301126,NA,Blue,2020,2020
UK 362735 201944,1944,Cattle,ST,M,21/02/2019,UK 142911 303178,UK 283928 101080,NA,Blue,2020,2020
