Date,Catchment 4 After  2013/08/13,Catchment 5,Catchment 6,Catchment 7,Catchment 8,Catchment 9,Catchment 11,Catchment 12,Catchment 13,Catchment 14,Green Shed,Blue Shed,Catchment 4 Prior to  2013/08/13,Brown Shed
2021-01-01,0,0,0,0,0,11,0,18,0,0,0,0,0,0
2021-01-02,0,0,0,0,0,11,0,18,0,0,0,0,0,0
2021-01-03,0,0,0,0,0,11,0,18,0,0,0,0,0,0
2021-01-04,0,0,0,0,0,11,0,18,0,0,0,0,0,0
2021-01-05,0,0,0,0,0,11,0,18,0,0,0,0,0,0
2021-01-06,0,0,0,0,0,11,0,18,0,0,0,0,0,0
2021-01-07,0,0,0,0,0,0,11,18,0,0,0,0,0,0
2021-01-08,0,0,0,0,0,0,11,18,0,0,0,0,0,0
2021-01-09,0,0,0,0,0,0,11,18,0,0,0,0,0,0
2021-01-10,0,0,0,0,0,0,11,18,0,0,0,0,0,0
2021-01-11,0,0,0,0,0,0,11,18,0,0,0,0,0,0
2021-01-12,0,0,0,0,0,0,11,18,0,0,0,0,0,0
2021-01-13,0,0,0,0,0,0,11,18,0,0,0,0,0,0
2021-01-14,0,0,0,0,0,0,11,18,0,0,0,0,0,0
2021-01-15,0,0,0,0,0,0,11,18,0,0,0,0,0,0
2021-01-16,0,0,0,0,0,0,11,18,0,0,0,0,0,0
2021-01-17,0,0,0,0,0,0,11,18,0,0,0,0,0,0
2021-01-18,0,0,0,0,0,0,6,7,0,0,0,0,0,0
2021-01-19,0,0,0,0,0,0,6,7,0,0,0,0,0,0
2021-01-20,0,0,0,0,0,0,6,7,0,0,0,0,0,0
2021-01-21,0,0,0,0,0,0,6,7,0,0,0,0,0,0
2021-01-22,0,0,0,0,0,0,6,7,0,0,0,0,0,0
2021-01-23,0,0,0,0,0,0,6,7,0,0,0,0,0,0
2021-01-24,0,0,0,0,0,0,6,7,0,0,0,0,0,0
2021-01-25,0,0,0,0,0,0,6,7,0,0,0,0,0,0
2021-01-26,0,0,0,0,0,0,6,7,0,0,0,0,0,0
2021-01-27,0,0,0,0,0,0,6,7,0,0,0,0,0,0
2021-01-28,0,0,0,0,0,0,6,7,0,0,0,0,0,0
2021-01-29,0,0,0,0,0,0,0,0,7,6,0,0,0,0
2021-01-30,0,0,0,0,0,0,0,0,7,6,0,0,0,0
2021-01-31,0,0,0,0,0,0,0,0,7,6,0,0,0,0
2021-02-01,0,0,0,0,0,0,0,0,7,6,0,0,0,0
2021-02-02,0,0,0,0,0,0,0,0,7,6,0,0,0,0
2021-02-03,0,0,0,0,0,0,0,0,7,6,0,0,0,0
2021-02-04,0,0,0,0,0,0,0,0,7,6,0,0,0,0
2021-02-05,0,0,0,0,0,0,0,0,7,6,0,0,0,0
2021-02-06,0,0,0,0,0,0,0,0,7,6,0,0,0,0
2021-02-07,0,0,0,0,0,0,0,0,7,6,0,0,0,0
2021-02-08,0,0,0,0,0,0,0,0,4,4,0,0,0,0
2021-02-09,0,0,0,0,0,0,0,0,4,4,0,0,0,0
2021-02-10,0,0,0,0,0,0,0,0,4,4,0,0,0,0
2021-02-11,0,0,0,0,0,0,0,0,4,4,0,0,0,0
